Município,IDHM 2010,IDEB AI - Pública,IDEB Anos Finais - Pública,Taxa de evasão ensino fund. Anos Iniciais,Taxa de evasão ensino fund. Anos Finais,Taxa de Abandono - Anos Iniciais,Taxa de Abandono - Anos Finais
Alagoinha do Piauí,0.531,5.3,5.7,1.2,5.1,0.9,2.1
Aroeiras do Itaim,0.519,5.1,4.8,0.0,9.1,0.0,0.0
Assunção do Piauí,0.499,5.7,4.3,1.3,6.1,0.0,2.1
Avelino Lopes,0.554,4.6,4.2,0.7,6.7,0.0,0.0
Batalha,0.545,4.9,5.3,1.6,5.0,0.4,1.0
Betânia do Piauí,0.489,4.8,4.0,3.6,5.1,0.4,1.7
Bom Princípio do Piauí,0.532,4.8,4.4,2.1,3.3,0.0,3.1
Bonfim do Piauí,0.542,4.3,4.9,1.2,4.4,0.2,1.7
Campinas do Piauí,0.544,5.5,4.3,1.0,3.3,0.3,1.6
Campo Largo do Piauí,0.528,4.0,3.7,2.3,6.2,0.0,1.7
Capitão Gervásio Oliveira,0.553,5.4,4.4,1.0,3.8,0.0,0.4
Caraúbas do Piauí,0.505,5.5,3.2,0.7,5.4,0.4,4.6
Cristalândia do Piauí,0.573,4.7,4.3,1.0,3.4,0.8,1.5
Curral Novo do Piauí,0.527,5.7,5.0,1.2,6.1,0.0,1.7
Francisco Ayres,0.577,4.1,4.2,2.1,4.0,0.3,2.1
Guaribas,0.508,4.6,3.6,0.7,3.3,0.3,0.8
Júlio Borges,0.582,6.2,3.7,0.5,5.3,0.0,3.4
Jurema,0.555,4.2,4.2,0.7,4.5,0.3,1.7
Lagoa de São Francisco,0.529,5.8,4.9,0.6,8.2,0.0,0.5
Lagoa do Barro do Piauí,0.502,5.3,4.4,0.4,3.1,0.0,0.5
Luís Correia,0.541,4.7,4.5,2.3,4.1,0.5,1.6
Madeiro,0.563,4.7,4.0,1.4,2.7,0.0,0.9
Massapê do Piauí,0.525,5.1,4.660454545454545,1.4,6.7,0.0,2.1
Matias Olímpio,0.562,4.8,3.9,0.9,3.9,0.0,2.0
Miguel Alves,0.539,3.8,3.2,2.2,5.8,0.1,0.9
Milton Brandão,0.508,4.5,4.6,2.1,11.5,0.5,0.8
Monte Alegre do Piauí,0.578,4.1,3.7,1.9,2.5,0.3,1.8
Morro do Chapéu do Piauí,0.55,4.8,4.5,0.9,3.1,0.2,1.7
Novo Santo Antônio,0.528,5.1,5.0,1.6,4.4,0.0,0.0
Palmeirais,0.562,3.9,3.9,1.5,3.9,0.0,0.0
Paquetá,0.509,4.7,4.1,0.9,6.1,0.5,2.9
Pedro Laurentino,0.562,5.3,4.1,2.0,3.1,0.0,4.5
Pimenteiras,0.566,4.4,4.1,1.6,7.2,0.2,0.4
Pio IX,0.564,5.3,4.8,1.5,6.4,0.4,1.4
Queimada Nova,0.515,5.8,4.1,0.7,5.5,0.5,0.8
Ribeira do Piauí,0.52,5.0,4.7,1.7,3.2,0.0,1.7
Santa Filomena,0.544,5.0,5.2,2.1,6.9,0.4,1.1
São Francisco de Assis do Piauí,0.485,4.2,3.4,0.6,6.7,0.4,2.6
São Gonçalo do Gurguéia,0.56,4.3,4.1,1.6,5.4,0.0,4.3
São João da Fronteira,0.515,5.2,4.2,0.7,6.6,0.2,2.2
Vera Mendes,0.503,4.9,4.5,1.6,5.1,0.4,2.2
