Município,IDEB AI - Pública,IDEB Anos Finais - Pública,Taxa de evasão ensino fund. Anos Iniciais,Taxa de evasão ensino fund. Anos Finais,Taxa de Abandono - Anos Iniciais,Taxa de Abandono - Anos Finais
Amarante,4.4,4.3,1.4,2.4,0.0,0.5
Assunção do Piauí,5.7,4.3,1.3,6.1,0.0,2.1
Avelino Lopes,4.6,4.2,0.7,6.7,0.0,0.0
Bertolínia,4.9,4.2,4.1,2.6,0.3,2.9
Betânia do Piauí,4.8,4.0,3.6,5.1,0.4,1.7
Boa Hora,4.5,4.5,1.6,2.2,0.0,0.6
Bom Princípio do Piauí,4.8,4.4,2.1,3.3,0.0,3.1
Bonfim do Piauí,4.3,4.9,1.2,4.4,0.2,1.7
Campinas do Piauí,5.5,4.3,1.0,3.3,0.3,1.6
Campo Largo do Piauí,4.0,3.7,2.3,6.2,0.0,1.7
Caraúbas do Piauí,5.5,3.2,0.7,5.4,0.4,4.6
Colônia do Gurguéia,4.5,4.3,2.7,6.3,0.2,3.0
Cristalândia do Piauí,4.7,4.3,1.0,3.4,0.8,1.5
Currais,5.2,4.0,0.2,3.2,1.3,2.4
Francisco Ayres,4.1,4.2,2.1,4.0,0.3,2.1
Geminiano,5.2,4.4,3.0,2.8,0.3,1.3
Guadalupe,4.6,4.2,1.3,3.3,0.0,0.7
Guaribas,4.6,3.6,0.7,3.3,0.3,0.8
Ilha Grande,4.5,4.6,3.7,1.7,0.2,0.8
Jardim do Mulato,5.2,4.8,0.3,2.9,0.0,3.5
José de Freitas,4.9,4.1,1.1,3.2,0.3,1.3
Júlio Borges,6.2,3.7,0.5,5.3,0.0,3.4
Jurema,4.2,4.2,0.7,4.5,0.3,1.7
Lagoa do Piauí,3.9,4.1,0.7,3.0,0.0,0.0
Luís Correia,4.7,4.5,2.3,4.1,0.5,1.6
Madeiro,4.7,4.0,1.4,2.7,0.0,0.9
Massapê do Piauí,5.1,4.660454545454545,1.4,6.7,0.0,2.1
Matias Olímpio,4.8,3.9,0.9,3.9,0.0,2.0
Miguel Alves,3.8,3.2,2.2,5.8,0.1,0.9
Miguel Leão,4.2,4.2,0.0,3.3,0.0,3.5
Milton Brandão,4.5,4.6,2.1,11.5,0.5,0.8
Monsenhor Gil,4.7,3.9,1.2,2.0,0.3,1.4
Monte Alegre do Piauí,4.1,3.7,1.9,2.5,0.3,1.8
Morro do Chapéu do Piauí,4.8,4.5,0.9,3.1,0.2,1.7
Palmeirais,3.9,3.9,1.5,3.9,0.0,0.0
Paquetá,4.7,4.1,0.9,6.1,0.5,2.9
Pedro Laurentino,5.3,4.1,2.0,3.1,0.0,4.5
Pimenteiras,4.4,4.1,1.6,7.2,0.2,0.4
Queimada Nova,5.8,4.1,0.7,5.5,0.5,0.8
Ribeira do Piauí,5.0,4.7,1.7,3.2,0.0,1.7
Santo Antônio de Lisboa,4.8,4.5,2.0,2.8,0.0,2.9
São Francisco de Assis do Piauí,4.2,3.4,0.6,6.7,0.4,2.6
São Gonçalo do Gurguéia,4.3,4.1,1.6,5.4,0.0,4.3
São João da Fronteira,5.2,4.2,0.7,6.6,0.2,2.2
São Lourenço do Piauí,4.7,4.5,1.3,1.8,0.0,2.1
Sebastião Leal,5.8,4.6,0.3,3.1,0.3,3.8
Sussuapara,5.2,4.3,1.7,2.9,0.5,1.9
Uruçuí,4.7,4.7,1.4,3.4,0.3,1.7
Valença do Piauí,4.6,4.6,1.6,1.8,0.5,1.9
Vera Mendes,4.9,4.5,1.6,5.1,0.4,2.2
