Município,IDEB AI - Pública,IDEB Anos Finais - Pública,Taxa de evasão ensino fund. Anos Iniciais,Taxa de evasão ensino fund. Anos Finais,Taxa de Abandono - Anos Iniciais,Taxa de Abandono - Anos Finais,cluster
Acauã,6.2,5.6,0.5,3.9,0.0,0.0,2
Agricolândia,5.2,5.2,2.2,1.3,0.3,1.1,0
Água Branca,6.8,5.6,0.5,1.9,0.0,0.0,2
Alagoinha do Piauí,5.3,5.7,1.2,5.1,0.9,2.1,0
Alegrete do Piauí,5.8,5.0,1.5,4.3,0.0,0.3,0
Alto Longá,5.6,5.0,0.4,2.3,0.2,0.0,2
Altos,7.0,5.6,1.4,2.5,0.1,0.3,2
Alvorada do Gurguéia,4.8,3.2,1.9,2.4,0.8,4.0,1
Amarante,4.4,4.3,1.4,2.4,0.0,0.5,4
Angical do Piauí,6.8,5.2,1.2,1.1,0.0,0.0,2
Anísio de Abreu,5.3,5.0,1.2,5.1,0.0,0.0,0
Antônio Almeida,6.1,5.6,0.0,2.1,0.0,0.0,2
Aroazes,5.8,4.6,0.9,2.2,0.0,1.6,0
Aroeiras do Itaim,5.1,4.8,0.0,9.1,0.0,0.0,0
Arraial,5.4,4.3,1.4,1.9,0.0,0.4,0
Assunção do Piauí,5.7,4.3,1.3,6.1,0.0,2.1,4
Avelino Lopes,4.6,4.2,0.7,6.7,0.0,0.0,4
Baixa Grande do Ribeiro,5.8,5.5,1.8,3.7,0.1,0.2,0
Barra D'Alcântara,6.1,4.3,0.0,1.9,0.0,0.0,2
Barras,5.6,4.6,0.5,2.9,0.1,0.9,0
Barreiras do Piauí,4.1,2.6,3.4,6.3,2.0,9.5,1
Barro Duro,5.4,3.5,2.9,4.5,0.5,4.9,1
Batalha,4.9,5.3,1.6,5.0,0.4,1.0,0
Bela Vista do Piauí,6.8,5.5,0.4,3.1,0.0,0.0,2
Belém do Piauí,6.8,5.1,0.0,1.4,0.0,0.0,2
Beneditinos,6.3,5.3,6.1,8.3,0.0,0.5,0
Bertolínia,4.9,4.2,4.1,2.6,0.3,2.9,4
Betânia do Piauí,4.8,4.0,3.6,5.1,0.4,1.7,4
Boa Hora,4.5,4.5,1.6,2.2,0.0,0.6,4
Bocaina,5.1,4.2,1.6,1.8,0.0,0.0,0
Bom Jesus,7.3,5.2,4.0,4.6,0.0,1.1,0
Bom Princípio do Piauí,4.8,4.4,2.1,3.3,0.0,3.1,4
Bonfim do Piauí,4.3,4.9,1.2,4.4,0.2,1.7,4
Boqueirão do Piauí,5.3,5.0,1.1,1.8,0.0,0.5,0
Brasileira,5.5,4.8,0.4,6.1,0.0,0.4,0
Brejo do Piauí,5.4,4.9,1.3,3.3,0.0,0.0,0
Buriti dos Lopes,5.5,4.9,2.0,3.2,0.1,0.9,0
Buriti dos Montes,7.3,6.5,0.2,3.1,0.0,0.0,2
Cabeceiras do Piauí,5.7,4.8,1.7,2.9,0.0,0.2,0
Cajazeiras do Piauí,4.9,4.3,0.0,0.9,0.0,0.0,3
Cajueiro da Praia,6.4,5.4,2.2,8.0,0.0,0.0,0
Caldeirão Grande do Piauí,7.2,5.9,0.3,2.2,0.0,0.0,2
Campinas do Piauí,5.5,4.3,1.0,3.3,0.3,1.6,4
Campo Alegre do Fidalgo,4.4,3.4,1.6,7.1,2.0,0.9,1
Campo Grande do Piauí,7.0,5.0,0.5,1.5,0.0,0.0,2
Campo Largo do Piauí,4.0,3.7,2.3,6.2,0.0,1.7,4
Campo Maior,6.3,5.4,1.8,3.0,0.1,0.1,0
Canavieira,4.9,5.0,1.9,3.4,0.0,0.6,0
Canto do Buriti,4.4,4.5,2.0,3.8,1.2,1.4,1
Capitão de Campos,5.3,3.9,1.0,1.4,0.0,1.6,3
Capitão Gervásio Oliveira,5.4,4.4,1.0,3.8,0.0,0.4,0
Caracol,3.5,3.6,1.4,14.2,4.3,7.7,1
Caraúbas do Piauí,5.5,3.2,0.7,5.4,0.4,4.6,4
Caridade do Piauí,5.8,5.2,1.6,2.9,0.2,0.6,0
Castelo do Piauí,6.7,5.3,1.1,2.7,0.0,0.0,2
Caxingó,3.8,3.8,1.8,4.1,1.1,3.9,1
Cocal,6.5,5.6,2.1,7.3,0.0,0.1,0
Cocal de Telha,5.3,5.3,1.3,1.1,0.0,0.0,2
Cocal dos Alves,7.8,6.4,0.4,3.1,0.2,0.3,2
Coivaras,5.7,4.8,0.2,0.7,0.0,2.1,3
Colônia do Gurguéia,4.5,4.3,2.7,6.3,0.2,3.0,4
Colônia do Piauí,6.1,4.5,1.1,3.4,0.0,0.0,0
Conceição do Canindé,4.9,4.9,1.7,4.0,0.0,0.0,0
Coronel José Dias,5.5,3.9,0.4,2.4,0.4,0.4,3
Corrente,4.5,3.7,9.8,5.5,0.9,2.5,1
Cristalândia do Piauí,4.7,4.3,1.0,3.4,0.8,1.5,4
Cristino Castro,4.2,3.3,2.2,3.7,1.7,3.8,1
Curimatá,5.5,5.1,2.0,4.5,0.2,1.1,0
Currais,5.2,4.0,0.2,3.2,1.3,2.4,4
Curral Novo do Piauí,5.7,5.0,1.2,6.1,0.0,1.7,0
Curralinhos,4.8,4.3,0.7,1.9,0.8,0.4,3
Demerval Lobão,7.4,5.6,1.2,2.6,0.0,0.0,2
Dirceu Arcoverde,4.2,4.7,0.0,0.7,1.0,1.9,3
Dom Expedito Lopes,6.2,5.3,0.5,0.9,0.0,0.0,2
Dom Inocêncio,5.5,4.9,0.6,3.1,0.0,0.0,2
Domingos Mourão,8.4,6.1,1.0,2.8,0.0,0.0,2
Elesbão Veloso,5.8,5.2,0.7,2.0,0.0,0.4,2
Eliseu Martins,5.3,4.9,0.3,2.6,0.0,0.4,2
Esperantina,6.1,4.8,1.5,3.9,0.3,0.6,0
Fartura do Piauí,4.8,4.0,3.4,4.5,2.2,8.0,1
Flores do Piauí,4.8,4.4,6.3,4.7,0.6,2.8,1
Floresta do Piauí,5.9,5.5,0.7,2.0,0.0,0.0,2
Floriano,5.9,5.4,1.8,4.1,0.1,1.0,0
Francinópolis,6.5,4.7,0.3,4.1,0.0,0.0,2
Francisco Ayres,4.1,4.2,2.1,4.0,0.3,2.1,4
Francisco Macedo,5.3,4.7,1.0,2.3,0.0,0.0,0
Francisco Santos,5.5,5.3,1.6,3.4,0.5,2.7,0
Fronteiras,7.0,4.7,1.8,1.5,0.0,0.8,2
Geminiano,5.2,4.4,3.0,2.8,0.3,1.3,4
Gilbués,3.7,3.7,2.5,5.4,6.1,12.1,1
Guadalupe,4.6,4.2,1.3,3.3,0.0,0.7,4
Guaribas,4.6,3.6,0.7,3.3,0.3,0.8,4
Hugo Napoleão,5.1,5.0,0.3,4.5,0.0,0.0,0
Ilha Grande,4.5,4.6,3.7,1.7,0.2,0.8,4
Inhuma,5.5,5.2,1.3,3.3,0.0,0.0,0
Ipiranga do Piauí,6.5,5.3,1.1,1.1,0.0,0.0,2
